scope,model,resampling,split,precision,recall,f1,roc_auc,pr_auc
combined,logistic_regression,none,validation,0.4869300911854103,0.6190108191653787,0.5450833616876488,0.49019375741936355,0.4696759760831627
combined,logistic_regression,none,test,0.5284725918041512,0.7180043383947939,0.6088289393010423,0.5333523970026046,0.5414797130817265
combined,random_forest,none,validation,0.4792243767313019,0.5347758887171561,0.5054784514243974,0.4835931308389616,0.473646698414685
combined,random_forest,none,test,0.5310610225398571,0.6984815618221258,0.603372891942536,0.5296812306331733,0.5446915383913944
combined,hist_gradient_boosting,none,validation,0.4712950600801068,0.5455950540958269,0.505730659025788,0.478646888461248,0.46514604651501623
combined,hist_gradient_boosting,none,test,0.528604118993135,0.6681127982646421,0.5902267646119451,0.5118341393091732,0.5363387056122269
combined,logistic_regression,upsample,validation,0.483271375464684,0.6027820710973725,0.5364511691884457,0.4999317954042503,0.47633071406142835
combined,logistic_regression,upsample,test,0.5323093220338984,0.7266811279826464,0.6144909813512687,0.5264877840232915,0.5364099011859333
combined,random_forest,upsample,validation,0.4594594594594595,0.5123647604327666,0.484472049689441,0.47035185679966,0.46792645134189603
combined,random_forest,upsample,test,0.5305055200464845,0.6601590744757773,0.5882731958762887,0.527615811790823,0.5386520175140779
combined,hist_gradient_boosting,upsample,validation,0.4926419060967064,0.5432766615146831,0.5167217934582874,0.5043701671970842,0.48820649137075645
combined,hist_gradient_boosting,upsample,test,0.5302740599107711,0.601590744757773,0.5636856368563685,0.5168798075133417,0.5402359347577518
combined,logistic_regression,smote,validation,0.48324192565508833,0.6128284389489954,0.540374787052811,0.4893600830630515,0.4696926494176862
combined,logistic_regression,smote,test,0.5296950240770465,0.7158351409978309,0.6088560885608856,0.5326490716895488,0.5408546722720948
combined,random_forest,smote,validation,0.47838412473423103,0.5216383307573416,0.49907578558225507,0.48423628326665064,0.47372415402276263
combined,random_forest,smote,test,0.5355097365406644,0.6760665220535069,0.5976350271652285,0.5308944244971534,0.5429279336885775
combined,hist_gradient_boosting,smote,validation,0.46723044397463004,0.5123647604327666,0.48875783265757466,0.4802031933278995,0.47134501211351804
combined,hist_gradient_boosting,smote,test,0.524818401937046,0.6268980477223427,0.571334431630972,0.5168566829441074,0.5395770187789828
intraday,logistic_regression,none,validation,0.4966832504145937,0.6131013306038895,0.5487860742098031,0.5048873603647093,0.5014771975333896
intraday,logistic_regression,none,test,0.5256087321578505,0.6042471042471043,0.5621912887292322,0.5047101042951665,0.5251507510738512
intraday,random_forest,none,validation,0.4864864864864865,0.6079836233367452,0.54049135577798,0.49287426864858475,0.48167572008910564
intraday,random_forest,none,test,0.5287356321839081,0.7104247104247104,0.6062602965403624,0.5164443118281292,0.5400897048994058
intraday,hist_gradient_boosting,none,validation,0.4715219421101774,0.5168884339815762,0.4931640625,0.490456627681288,0.4866210641106832
intraday,hist_gradient_boosting,none,test,0.5205959684487291,0.5733590733590733,0.5457050987597611,0.5032952706707894,0.5248159248952061
intraday,logistic_regression,upsample,validation,0.4846938775510204,0.5834186284544524,0.5294937296795169,0.49488229273285567,0.4853330552985332
intraday,logistic_regression,upsample,test,0.521969696969697,0.665057915057915,0.5848896434634975,0.5089696246335251,0.5245099121183047
intraday,random_forest,upsample,validation,0.4739208633093525,0.5394063459570113,0.5045476304451891,0.4787059311322852,0.473394314821741
intraday,random_forest,upsample,test,0.5087719298245614,0.6158301158301158,0.5572052401746724,0.494170444896586,0.5201775401679339
intraday,hist_gradient_boosting,upsample,validation,0.4871559633027523,0.5435005117707267,0.5137880986937591,0.49551023841905917,0.4817838054429616
intraday,hist_gradient_boosting,upsample,test,0.5254083484573503,0.5588803088803089,0.5416276894293732,0.5075167416972396,0.5317059549918278
intraday,logistic_regression,smote,validation,0.49378624689312345,0.6100307062436029,0.5457875457875457,0.5061041929145292,0.5018670163362564
intraday,logistic_regression,smote,test,0.521404109589041,0.5878378378378378,0.5526315789473685,0.5043386228552204,0.5254839156883412
intraday,random_forest,smote,validation,0.4793856103476152,0.6069600818833163,0.5356820234869015,0.48713262172832283,0.47328774971677523
intraday,random_forest,smote,test,0.5208480565371024,0.7113899613899614,0.6013871889024888,0.5042034476681779,0.529676714018551
intraday,hist_gradient_boosting,smote,validation,0.4824644549763033,0.5209825997952917,0.5009842519685039,0.5029444343180831,0.49607294975051697
intraday,hist_gradient_boosting,smote,test,0.5215827338129496,0.5598455598455598,0.5400372439478585,0.49673677085502815,0.5136674804690118
overnight,logistic_regression,none,validation,0.5480225988700564,0.5449438202247191,0.5464788732394367,0.5066600217470099,0.5315582102927101
overnight,logistic_regression,none,test,0.4988399071925754,0.6534954407294833,0.5657894736842105,0.5003292054873594,0.47973173320138884
